Cote,Titre,Auteur,Editeur,Lieu,Annee,Nb pages,Matière,Inventaire
002_297_/01,Dix ans de recherche universitaire française sur le monde arabe et Islamique de 1968 - 69 à 1979,  ,Recherche sur les civilisations,Paris,1982,340,Documentation,FSR_9154
002_371.11_/01,Guide international de la documentation pédagogique,UNESCO,Unesco,Paris,1971,571,Documentation pédagogique,FSR_233
002.63/01,Guide mondial des écoles de bibliothécaires et documentalistes = world guide to library schols and training courses in documentations,UNESCO,Unesco,Paris,1972,250,Centres nationaux de documentation,FSR_5854
002.6/01,Guide des recherches en sciences humaines sur la méditerranée contemporaine,  ,Cnrs,Paris,1978,100,Centre de documentation,FSR_6773
002.6/01bis,Guide des recherches en sciences humaines sur la méditerranée contemporaine,  ,Cnrs,Paris,1978,87,Centre de documentation,FSR_10380
002/01,Anatomie d'une année internationale : l'année du livre 1972,  ,Unesco,Paris,1975,46,Documentation,FSR_5796
002/02,Les problèmes économiques de l'édition des livres dans les pays en voie de développement,C.SMITH Jr Datus,Unesco,Paris,1977,48,Documentation,FSR_5640
002/03,Le livre dans les pays multilingues,HASSAN Abul,Unesco,Paris,1978,48,Documentation,FSR_5636
002/04,Des livres pour les pays en voie de développement : Asie Afrique,PRAKASH Om. FYLE Clifford M,Unesco,Paris,1965,36,Documentation,FSR_7414
002/06,Les techniques documentaires,CHAUMIER Jacques,Puf,Paris,1974,126,Documentation,FSR_2063
002/07,Guide mondial des centres de documentation et d'information techniques,  ,Unesco,Paris,1975,499,Documentation,FSR_5721
002/08,Analyse et langages documentaires : le traitement linguistique de l'information documentaire,CHAUMIER Jacques,Entreprise Moderne,Paris,1982,188,Documentation . écrits en général,FSR_14361
002/09,Comment organiser sa documentation scientifique,DESVALES Hélène,Bordas,Paris,1978,272,Documentation,FSR_8055
002/10,Méthodologie d'utilisation d'un centre de documentation,CHEVALIER Brigitte,Hachette,Paris,1980,192,Documentation,FSR_7092
002/11,Terminology of documentation = terminologie de la documentation,WERSIG Gernot. NEVELING Ulrich,Unesco,Paris,1976,278,Documentation,FSR_5869
002/11bis,Terminology of documentation = terminologie de la documentation,WERSIG Gernot. NEVELING Ulrich,Unesco,Paris,1976,278,Documentation,FSR_5825
002/12,Le coût de la documentation principes et méthode de calcul,BERNARDIN Odile,d'Organisation,Paris,1979,132,Documentation,FSR_4473
002/13,Comment se documenter : s'informer- critiquer - rédiger,HUMBLET Jean,Labor,Bruxelles,1985,184,Documentation,FSR_16536
002/14,L'organisation des systèmes d'information des pouvoirs publics,DE Grolier Eric,Unesco,Paris,1978,184,Documentation,FSR_5642
002/15,Manuel des échanges internationaux de publications,VANWIJINGAERDEN Frans,Unesco,Paris,1977,184,Documentation,FSR_12100
002/15bis,Manuel des échanges internationaux de publications,VANWIJINGAERDEN Frans,Unesco,Paris,1977,184,Documentation,FSR_5641
002/16,Le rôle et l'organisation d'un centre national de documentation dans un pays en voie de développement,SCHÜTZ Harald,Unesco,Paris,1976,232,Documentation,FSR_5856
002/17,Conception et gestion des systèmes documentaires,VAN Slype Georges,d'Organisation,Paris,1979,264,Documentation,FSR_4413
002/19,Guide pratique à l'usage de l'archiviste - documentaliste : un exemple concret : les communes,DURAND-EVARD Françoise. DURAND Claude,Lavoisier,Paris,1955,340,Documentation,FSR_16936
002/20,Procédures d'analyse sémantique appliquées à la documentation scientifique,  ,G.Villars,Paris,1970,244,documentation,FSR_22111
002/21t1,Guide pratique des techniques documentaires. v1 : traitement et gestion des documents,GUINCHAT Claire,Edicef,Paris,1989,272,Documentation : techniques,FSR_24184
002/21t2,Guide pratique des techniques documentaires. v2 : traitement de l'information,GUINCHAT Claire,Edicef,Paris,1989,320,Documentation : techniques,FSR_24185
003.62/01,La symbolique,BEIGBEDER Olivier,Puf,Paris,1975,128,"Désignation, notations, symboles",FSR_1943
003/01,L'écriture chinoise,ALLETON Viviane,Puf,Paris,1976,128,Ecriture,FSR_1168
003/02,Les écritures secrète,MULLER André,Puf,Paris,1971,136,Ecriture,FSR_1954
003/03,L'écriture,HIGOUNET Charles,Puf,Paris,1976,128,Ecriture,FSR_1953
003/04,L'écrit et la communication,ESCARPIT Robert,Puf,Paris,1973,128,Ecriture,FSR_1287
003/05,La faim de lire,BARKER E. Ronald. ESCARPIT Robert,Unesco,Paris,1973,172,Ecriture,FSR_5857
003/10,Travaux sur les systèmes de signes : école de Tartufe,  ,Complexe,Bruxelles,1976,256,La sémiotique,FSR_16660
007/002/01,Sciences techniques de l'information et de la documentation : introduction générale,GUINCHAT Claire. MENOU Michel,Unesco,Paris,1981,400,Action et organisation en général,FSR_11334
007/01,Les moyens d'information dans la société,HALLORAN James,Unesco,Paris,1970,39,"Information, communications",FSR_7420
007/02,Les émissions radiodiffusées vers l'étranger et la compréhension internationale,  ,Unesco,Paris,1978,56,"Information, communications",FSR_7418
007/03,Les conseils nationaux de la politique de la communication : principes et expériences,  ,Unesco,Paris,1979,47,"Information, communications",FSR_7417
007/04,Dare information management system,UNESCO,Unesco,Paris,1975,23,"Information, communications",FSR_7409
007/05,Les moyens d'information dans un monde de violence,BURNET Mary,Unesco,Paris,1971,51,"Information, communications",FSR_7421
007/06,La pratique de la grande information : quelques enseignements tirés de la recherche,LAKSHMAN Rao,Unesco,Paris,1972,56,"Information, communications",FSR_7422
007/07,L'information,TERROU Fernand,Puf,Paris,1972,128,Action et organisation en général,FSR_1751
007/08,La culture contre la démocratie ? ,MATTELART Armand,La Découverte,Paris,1984,228,Action et organisation en général,FSR_13012
007/09,Voix multiples un seul monde : communication et société aujourd'hui et demain,MACBRIDE Sean,Unesco,Paris,1980,367,Action et organisation en général,FSR_5676
007/10,La communication écrite : méthodes et perfectionnement,ATHANASE Paul,Al Madariss,Casablanca,1983,352,Communication écrite,FSR_18197
007/11,"Les médias : presse écrite, radio, télévision",CAYROL Roland,Puf,Paris,1991,480,Communications,FSR_22603
007/12,Penser les médias,MATTELART Armand,La Découverte,Paris,1991,24,Communications,FSR_22166
007/13,Les chemins de la persuasion : le mode d'influence des médias et de la publicité,KAPFERER J.N,Dunod,Paris,1990,346,"Information, communications",FSR_22400
007/14,"L'Europe de l'information : programmes, marchés et technologies",PELOU Pierre,Esf,Paris,1990,224,Information: Europe,FSR_23517
007/15,Macrothésaurus : pour le traitement de l'information relative au développement économique et social,  ,Ocde,Paris,1979,436,Information : terminologie - macrothésaurus,FSR_8631
008_510_/01,La Chine,KÜCHLER Ulla - KÜCHLER J'ohannes,Bibliothèque des Arts,Paris,1979,222,Histoire de la chine,FSR_2768
008_532_/01,Qaryat Al-Fau a portrait of pre-islamic civilization in Saudia Arabia,AL-ANSARY A.R,Ur,London,1981,208,L'Arabie  Saoudite. Civilisation,FSR_9190
008_611_/01,Tunisie : héritière de Carthage,FAURE Edgar. POLI François,Jeune Afrique,Paris,1979,170,La Tunisie. Civilisation,FSR_4049
008_61_/81,Nouveaux enjeux culturels au Maghreb,HENRY Jean-Robert,Cnrs,Paris,1986,452,La culture au Maghreb,FSR_18267
008_620_/01,"Eternelle Egypte : son art, ses monuments, son peuple, son histoire",NEWBY P.h,Nathan,Paris,1980,260,L'Egypte. Civilisation,FSR_2766
008_64_/01,"Maroc extrême, Maghreb du soleil couchant",JOBERT Michel,Jeune Afrique,Paris,1978,200,Le Maroc. Civilisation,FSR_4048
008_64_/02,Maroc millénaire,HUGOT Henri. MAXIMILIEN Bruggmann,La Bibliothèque arts,Paris,1979,226,Le Maroc. Civilisation,FSR_2767
008_64_/03,Le Maroc étincelant,MORIN-BARDE Mireille,Marcus,Paris,1975,166,Le Maroc. Civilisation,FSR_6406
008_64_/06,Voir le Maroc,GOUGAUD Henri. GOUVIN Colette,Hachette,Vérome,1978,158,Le Maroc. Civilisation,FSR_6405
008_64_/07,Tribus berbères du Haut Atlas,BERTRAND André,Edita Vilo,Lausanne,1977,142,Le Maroc. Civilisation,FSR_6392
008_64_/08,Le Maroc que j'aime,BLISTENE Marcel,Sun,Paris,1977,154,Le Maroc. Civilisation,FSR_6397
008_64_/09,La saison des fêtes dans une vallée du Haut-Atlas,JOUAD Hassan. LORTAT-JACOB Bernard,Seuil,Paris,1978,112,Le Maroc. Civilisation,FSR_6407
008_64_/10,Marrakech la fantastique : ville impériale,TALABOT Marcel,G.p,Paris,1975,114,Le Maroc. Civilisation,FSR_6399
008_64_/11,Maroc terre d'énigmes,MAZEL Jean,R. Laffont,Paris,1971,178,Le Maroc. Civilisation,FSR_6400
008_6_/01,Afrique : les civilisations noires,MAQUET Jacques,Horizons,Paris,1962,290,Histoire des civilisations noires,FSR_6411
008_927_/82,Tentation de l'Orient,TAVERNIER René,A. Michel,Paris,1977,189,"Civilisation, culture arabe et l'occident",FSR_2272
008_927_/87t1,Arabische instrumente in orientalistischen studien. t1 : astronomische instrumente. publikationn 1805 - 1865,SEZGIN Fuat (éd),I.G.A.I.W,Frankfurt,1990,510,Culture : sciences arabes et islamiques,FSR_25415
008_927_/87t2,Arabische instrumente in orientalistischen studien. t2 : astronomische instrumente. publikationn 1858 - 1892,SEZGIN Fuat (éd),I.G.A.I.W,Frankfurt,1991,434,Culture : sciences arabes et islamiques,FSR_25416
008_927_/87t3,Arabische instrumente in orientalis tischen studien. t3 : astronomische instrumente. publikationn 1893 - 1917,SEZGIN Fuat (éd),I.G.A.I.W,Frankfurt,1991,432,Culture : sciences arabes et islamiques,FSR_25417
008_927_/87t4,Arabische instrumente in orientalistischen studien. t4 : astronomische instrumente. publikationn 1918 - 1925,SEZGIN Fuat (éd),I.G.A.I.W,Frankfurt,1991,440,Culture : sciences arabes et islamiques,FSR_25418
008_927_/87t5,Arabische instrumente in orientalistischen studien. t5 : geschichte der geodätischen instrumente und verfahren in altertum und mittela,SCHMIDT Fritz,I.G.A.I.W,Frankfurt,1991,432,Culture : sciences arabes et islamiques,FSR_25419
008_927_/87t6,Arabische instrumente in orientalistischen studien. t6 : astronomische instrumente. publikationn 1926 - 1931,SEZGIN Fuat (éd),I.G.A.I.W,Frankfurt,1991,428,Culture : sciences arabes et islamiques,FSR_25420
008_927_/88t1,Bibliographie der devtschsprachigen arabistik und Islamkunde. t1 : allgemeines und hilfsmittel derforschung,SEZGIN Fuat (éd),I.G.A.I.W,Frankfurt,1990,326,Culture : sciences arabes et islamiques,FSR_25421
008_927_/88t2,Bibliographie der devtschsprachigen arabistik und Islamkunde. t2 : islam. religion und theologie. recht und sitte,SEZGIN Fuat (éd),I.G.A.I.W,Frankfurt,1990,738,Culture : sciences arabes et islamiques,FSR_25422
008_927_/88t3,Bibliographie der deutschsprachigen arabistik und Islamkunde. t3 : arabische spradre. philologie,SEZGIN Fuat (éd),I.G.A.I.W,Frankfurt,1991,360,Culture : sciences arabes et islamiques,FSR_25423
008_927_/88t4,Bibliographie der deutschsprachigen arabistik und Islamkunde. t4 : peosie und prosa,SEZGIN Fuat (éd),I.G.A.I.W,Frankfurt,1991,379,Culture : sciences arabes et islamiques,FSR_25424
008_927_/88t5,"Bibliographie der deutschsprachigen arabistik und Islamkunde. t5 : wissenschafts geschichte. philosophie, medizin und natur wissenscha",SEZGIN Fuat (éd),I.G.A.I.W,Frankfurt,1991,612,Culture : sciences arabes et islamiques,FSR_25425
008_927_/88t6,"Bibliographie der deutschsprachigen arabistik und Islamkunde. t6 : kulturgeschiche. gewerbe, handwerke und künste",SEZGIN Fuat (éd),I.G.A.I.W,Frankfurt,1991,476,Culture : sciences arabes et islamiques,FSR_25426
008_927_/88t7,"Bibliographie der deutschsprachigen arbistik und Islamkunde. t7 : geschichte, wirtschft und verwaltung bis ca. 1800",SEZGIN Fuat (éd),I.G.A.I.W,Frankfurt,1991,649,Culture : sciences arabes et islamiques,FSR_25427
008_927_/89,Die psychosomatik bei Abi Zaid Al-Balhi (gest. 934 A.D.),ÖZKAN Zahide,I.G.A.I.W,Frankfurt,1990,170,Culture : sciences arabes et islamiques,FSR_25428
008_927_/90,Die abhanlung über den nachweis der natur des möglichen von Yahyâ ibn'Adi (gest. 974 A.D.),EHRIG-EGGERT Carl,I.G.A.I.W,Frankfurt,1990,168,Culture : sciences arabes et islamiques,FSR_25429
008_...15_/01,"La pensée occidentale face à la sagesse de l'Orient : nature, mythe, psychologie, yoga",ROCHEDIEU Edmond,Payot,Paris,1963,184,Culture occidentale,FSR_15679
008:33/45,La marchandise culturelle,  ,Cnrs,Paris,1977,95,Civilisation . culture . progrès,FSR_9340
008:342.7/42,Les droits culturels en tant que droits de l'homme,  ,Unesco,Paris,1970,131,Civilisation . culture . progrès,FSR_5630
008/01,L'action culturelle de la France dans le monde,BALOUS Suzanne,Puf,Paris,1970,0,Civilisation. Culture . Progrès,FSR_6497
008/02,Introduction à la culture africaine,BALOGUN Ola. AGUESSY Honorak. DIAGNE Pathé,Union Générale d'Editeurs,Paris,1977,320,Civilisation . Culture . Progrès,FSR_5868
008/03,Aspects de la politique culturelle de l'Algérie,BAGHLI Sid-Ahmed,Unesco,Paris,1977,59,Civilisation . Culture . Progrès,FSR_5627
008/04,Aspects de la politique culturelle française,  ,Unesco,Paris,1970,71,Civilisation . Culture . Progrès,FSR_5629
008/05,Aspects de la politique culturelle canadienne,SCHAFER Paul,Unesco,Paris,1977,99,Civilisation . Culture . Progrès,FSR_5628
008/06,La politique culturelle au Kenya,NDETI Kivuto,Unesco,Paris,1975,79,Civilisation . Culture . Progrès,FSR_7364
008/07,La politique culturelle en République Démocratique Allemande,KOCH Hans,Unesco,Paris,1975,65,Civilisation . Culture . Progrès,FSR_7365
008/08,La politique culturelle en République Unie du Cameroun,BAHOKEN J.C. ATANGANA Englbert,Unesco,Paris,1975,93,Civilisation. Culture. Progrès,FSR_7366
008/09,La politique culturelle aux Philippines,  ,Unesco,Paris,1974,42,Civilisation . Culture . Progrès,FSR_7367
008/10,La politique culturelle en Italie,  ,Unesco,Paris,1971,83,Civilisation . culture . progrès,FSR_7368
008/11,La politique culturelle en Sierra leone,ABRAHAM Arthur,Unesco,Paris,1979,86,Civilisation . Culture . Progrès,FSR_7370
008/12,La politique culturelle en Roumanie,BALAN Ion Dodu,Unesco,Paris,1974,75,Civilisation . Culture . Progrès,FSR_7371
008/13,La politique culturelle en Israël,MICHMAN Joseph,Unesco,Paris,1973,82,Civilisation . Culture . Progrès,FSR_7372
008/14,La politique culturelle dans la République de Corée,YERSU Kim,Unesco,Paris,1976,63,Civilisation . Culture . Progrès,FSR_7373
008/15,La politique culturelle en Finlande,  ,Unesco,Paris,1972,81,Civilisation . Culture . Progrès,FSR_7374
008/16,La politique culturelle en République Unie de Tanzanie,MBUGHUNI L.A,Unesco,Paris,1974,81,Civilisation . Culture . Progrès,FSR_7375
008/17,La politique culturelle de la République de Guinée,  ,Unesco,Paris,1979,94,Civilisation . Culture . Progrès,FSR_7376
008/18,La politique culturelle en Hongrie,  ,Unesco,Paris,1974,87,Civilisation . Culture . Progrès,FSR_7377
008/19,La politique culturelles en Union des Républiques Socialistes Soviétiques,ZVORYKINE A.A,Unesco,Paris,1970,72,Civilisation . culture . progrès,FSR_7378
008/20,La politique culturelle dans la République Socialiste Soviétique de Biélorussie,  ,Unesco,Paris,1978,53,Civilisation . Culture . Progrès,FSR_7379
008/21,La politique culturelle en Pologne,WITOLD BALICKI Stanislaw. KOSSAK Jerzy. ZULAWSKI Miroslaw,Unesco,Paris,1972,70,Civilisation. Culture. Progrès,FSR_7380
008/22,La politique culturelle en Bulgarie,POPOV Kostadine,Unesco,Paris,1972,64,Civilisation . Culture . Progrès,FSR_7381
008/23,La politique culturelle au Ghana,Ministère de l'Education ACCRA,Unesco,Paris,1976,53,Civilisation . Culture . Progrès,FSR_7382
008/24,La politique culturelle en Tunisie,SAID Rafik,Unesco,Paris,1977,56,Civilisation . Culture . Progrès,FSR_7383
008/25,Le rôle de la culture dans les loisirs en Nouvelle-Zélande,SMYTH Bernard,Unesco,Paris,1973,95,Civilisation . Culture . Progrès,FSR_7384
008/26,La politique culturelle à Cuba,OTERO Lisandro,Unesco,Paris,1972,58,Civilisation. culture . progrès,FSR_7385
008/27,La politique culturelle en Yougoslavie,MAJSTOROVIC Stevan,Unesco,Paris,1971,87,Civilisation . culture . progrès,FSR_7386
008/28,La politique culturelle du Nigéria,FASUYI T A,Unesco,Paris,1972,72,Civilisation . culture . progrès,FSR_7387
008/29,La politique culturelle au Sénégal,SEYNI M'bengue Mamadou,Unesco,Paris,1973,68,Civilisation . culture . progrès,FSR_7388
008/30,La politique culturelle en Indonésie,  ,Unesco,Paris,1973,49,Civilisation . culture . progrès,FSR_7389
008/31,La politique culturelle en République du Zaïre,EKANGA Botombele Bokongo,Unesco,Paris,1975,123,Civilisation . culture . progrès,FSR_7390
008/32,La politique culturelle de la République de Guinée,  ,Unesco,Paris,1979,94,Civilisation . culture . progrès,FSR_2568
008/33,La politique culturelle en Egypte,WAHBA Magdi,Unesco,Paris,1972,103,Civilisation . culture . progrès,FSR_7391
008/34,La politique culturelle en République Populaire Démocratique de Corée,SIN SIK Chai. JONG Hun Hyon,Unesco,Paris,1979,42,Civilisation. culture. progrès,FSR_7392
008/35,La politique culturelle au Japon,SHIKAUMI Nobuya,Unesco,Paris,1970,63,Civilisation . culture . progrès,FSR_7424
008/36,La politique culturelle en Tchécoslovaquie,MAREK Miroslav,Unesco,Paris,1970,73,Civilisation . culture . progrès,FSR_7426
008/37,La politique culturelle en Grande Bretagne,GREEN Michael. WILDING Michael,Unesco,Paris,1970,71,Civilisation. culture. progrès,FSR_7427
008:37_927_/55,Culture et éducation arabo-islamique au Sam : pendant les trois premiers siècles de l'Islam,ABIAD Malake,Cpdgrc,Damas,1981,357,Culture - éducation islamique,FSR_13302
008/38,Réflexions préalables sur les politiques culturelles,  ,Unesco,Paris,1969,52,Civilisation . culture . progrès,FSR_7428
008/39,La politique culturelle aux Etats-Unis,MARK Charles,Unesco,Paris,1969,48,Civilisation . culture . progrès,FSR_7425
008/40,Les relations culturelles internationales,DOLLOT Louis,Puf,Paris,1968,128,Civilisation . culture . progrès,FSR_1942
008/41,La politique culturelle à Sri Lanka,BANDARA H,Unesco,Paris,1973,79,Civilisation . culture . progrès,FSR_7369
008/43,La politique culturelle : au Maroc,BEN BACHIR Mohammed. MOULAY Mohammed Najib,Unesco,Paris,1981,50,Culture,FSR_8742
008/44,Les principes de la coopération culturelle,LEWIS Sulwyn,Unesco,Paris,1971,29,"Information, communications",FSR_6624
008/46,Les principes de la coopération culturelle,LEWIS Sulwyn,Unesco,Paris,1971,29,"Information, communications",FSR_5852
008/47,La danse de la vie = the dance of life : temps culturel temps vécu,HALL Edward,Seuil,Paris,1984,265,Civilisation . culture . progrès,FSR_13090
008/48,Le sens du futur,OFFREDO Jean,Universitaires,Paris,1971,199,Civilisation . culture . progrès,FSR_13649
008/49,Scientific research I : the search for system. vol 3/1,BUNGE Mario,Springer/Verlag,Berlin,1967,519,Méthodes scientifiques et techniques,FSR_8851
008/50,Scientific research II : the search for truth. vol 3/II,BUNGE Mario,Springer/Verlag,Berlin,1967,360,Méthodes scientifiques et techniques,FSR_8868
008/51,Aspects de la civilisation américaine,GUIGUET Jean,A. Colin,Paris,1971,338,Civilisation américaine,FSR_19116
008/52,La culture du pauvre = the uses of literacy : étude sur le style de vie des classes populaires en Angleterre,HOGGART Claude,Minuit,Paris,1970,401,Civilisation . Culture. Progrès,FSR_13605
008/54,History and philosophy of science,MOHAMMED Said Hakim,Hamdard,Islamabad,1979,280,"Civilisation, culture . progrès",FSR_12792
008/56,L'esprit américain : interprétation de la pensée et du caractère américains depuis 1880,COMMAGER Henry,Puf,Paris,1965,588,Civilisation - progrès,FSR_15657
008/80,La culture contre l'homme,STEINER Georges,Seuil,Paris,1971,160,Culture,FSR_16956
008/83,La culture planifiée ? ,BENSAID Georges,Seuil,Paris,1969,336,Culture,FSR_21772
008/84t1,"Geschichte des arabischen schrifttums. band 1, qu'ànwissenschaften. hadît. geschichte. fiqh. dogmatik",SEZGIN Fuat,Leiden,Netherlands,1967,938,Culture et sciences arabes: religion,FSR_24113
008/84t2,Geschichte des arabischen scrifttums. band 2 : poesie,SEZGIN Fuat,Leiden,Netherlands,1975,810,Culture et sciences arabes : poésie,FSR_24114
008/84t3,Geschichte des arabischen schrifttums. band 3 : medizin - phamazie - zoologie - tierheilkunde,SEZGIN Fuat,Leiden,Netherlands,1970,500,Culture et sciences arabes : médecine - zoologie,FSR_24115
008/84t4,Geschichte des arabischen schrefttums. band 4 : alchimie - chimie - botanik - agrikultur,SEZGIN Fuat,Leiden,Netherlands,1971,402,Culture et sciences arabes : chimie - botanique -agriculture,FSR_24116
008/84t5,Geschichte des arabischen schrifttums. band 5 : mathematik,SEZGIN Fuat,Leiden,Netherlands,1974,520,Culture et sciences arabes : mathématiques,FSR_24117
008/84t6,Geschichte des arabischen schrifttums. band 6 : astronomie,SEZGIN Fuat,Leiden,Netherlands,1978,524,Culture et sciences arabes : astronomie,FSR_24118
008/84t7,Geschichte des arabischen schrifttums. band 7 : astrologie - meteorologie und verwandtes,SEZGIN Fuat,Leiden,Netherlands,1979,490,Culture et sciences arabes : astrologie - météorologie,FSR_24119
008/84t9,Geschichte des arabischen schrifttums. band 9 : gramatik,SEZGIN Fuat,Leiden,Netherlands,1984,408,Culture et sciences arabes : grammaire,FSR_24120
008/85,La pensée arabe et l'Occident,HOURANI Albert,Naufal,Paris,1991,418,Culture : penseurs arabes en 19è siècle - islam - monde moderne,FSR_25188
008/86,Pratiques et résistance culturelles au Maghreb,SRAIEB Noureddine (s/s dir),CNRS,Paris,1992,392,Culture : Maghreb contemporain,FSR_25156
009_61_/02,Culture et société au Maghreb,  ,Cnrs,Paris,1975,296,Culture : Maghreb,FSR_10375
009_61_/02bis,Culture et société au Maghreb,  ,Cnrs,Paris,1975,295,Culture: Maghreb,FSR_4540
009/01,Imaginaire et réalité,CHARON Jean,A. Michel,Paris,1985,300,Science et l'esprit en général,FSR_14861
009/03,"Gödel, Escher, Bach : an eternal golden braid",HOFSTADTER Douglas,Penguin,London,1979,758,Science de l'esprit en général,FSR_10213
009/04,"Le partage du savoir: science, culture, vulgarisation",ROQUEPLO Philippe,Seuil,Paris,1974,254,Science et l'esprit en général,FSR_13849
009/05,L'esprit et la science,CHARON Jean,A. Michel,Paris,1983,478,Science et l'esprit en général,FSR_13000
011/016/01,Les services bibliographiques dans le monde 1965 - 1969,AVICENNE Paul,Unesco,Paris,1972,320,Bibliographies,FSR_17669
011/02,La bibliographie,MALCLES Louise-Noell,Puf,Paris,1977,128,Science et connaissance en général,FSR_2062
013/01,The Japon foundation 1980 - an introductioy bibliography for japanese studies : humanities 1976 - 77 . vol3 / par t2,Center For science,C.s.c,Tokyo,1980,259,Bibliographies collectives,FSR_6631
016/01,Palestine and the arab-israeli conflict : an annotated bibliography,  ,Inst. for palestinian. stud,Beyrouth,1974,737,Bibliographie des sujets spéciaux,FSR_749
017/01,International handbook of universities,AITKEN D.J,Macmilan,London,1983,1131,Guide. catalogue,FSR_12835
01_6_/03,Sources d'information sur l'Afrique Noire francophone et Madagascar,PORGES Laurence,Documentation française,Paris,1988,389,Bibliographie. catalogues,FSR_18718
301.19/23_p2_t2,Tendances principales de la recherche dans les sciences sociales et humaines : sciences juridiques,HAVET Jacques (s/s dir),Mouton / Unesco,Paris,1978,1645,Points de vue et tendances sociales,FSR_2288
01:550/01,Bibliographie hydrologique africaine = bibliography of african hydrology,RODIER J,Unesco,Paris,1963,170,Bibliographie,FSR_5739
01-janv,Bibliographie des publications éditées par l'UNESCO ou ses auspices,UNESCO,Unesco,Paris,1973,294,Bibliographie,FSR_5799
01-févr,Bibliographie de dictionnaires scientifiques et techniques multilingues,UNESCO,Unesco,Switzerland,1969,214,Bibliographie,FSR_5719
01-avr,Bibliographie pédagogique annuelle,Bureau International d'Education,Bie,Genève,1969,232,Bibliographie,FSR_209
01-mai,Amine Ar-Rihani : penseur et homme de lettres libanais,ZAKKA Najib,Pul,Lille,1975,246,Bibliographie,FSR_10358
01-juin,Bibliographie de dictionnaires scientifiques et techniques multilingues,UNESCO,Unesco,Switzerland,1969,39,Bibliographie,FSR_12098
01-juil,Bibliographie des publications éditées par l'UNESCO ou ses auspices : les vingt-cinq premières années : 1946 à 1971,UNESCO,Unesco,Paris,1973,385,Bibliographie,FSR_13036
01-août,Bibliographie de la culture arabe contemporaine,BERQUE Jacques,Unesco,Paris,1981,483,Bibliographie,FSR_11660
01-sept,La bibliophilie,VAUCAIRE Michel,Puf,Paris,1970,125,Bibliographie,FSR_2252
01-déc,Index translationum 27 : répertoire international des traductions,  ,Unesco,Paris,1978,846,Catalogue bibliographique,FSR_5801
01/13t1,Ulrich's international periodicals directory (1982). t1,  ,R.R. bowker company,Newyork,1982,1300,Bibliographie,FSR_12924
01/13t2,Ulrich's international periodicals directory (1982). t2,  ,R.r.bowker company,Newyork,1982,2269,Bibliographie,FSR_12925
021/01,"La planification des infrastructures nationales de documentation, de bibliothèques et d'archives : esquisse d'une politique générale",OLIER J. H,Unesco,Paris,1974,330,Création et développement des bibliothèques,FSR_5805
025.3/01,La diffusion internationale des fiches de catalogue : situation actuelle et perspectives d'avenir,GILJAREVSKIJ R,Unesco,Paris,1968,96,Bibliothéconomie,FSR_5798
025.45/01,Exercices programmés sur la classification décimale universelle,DUBUC R,G.Villars,Paris,1970,170,Classification utilisant une notation,FSR_383
