Cote,Titre,Auteur,Editeur,Lieu,Annee,Nb pages,Matière,Inventaire
961.1/05,الدولة الصنهاجية,"أبن عامر, أحمد",الدار التونسية للنشر,تونس,1972.0,114,تاريخ تونس,FSR_5132
297.4/06,أعلام الموقعين عن رب العالمين. المجلد التاني,"إبن قيم الجوزية, أبو عبد الله محمد بن أبي بكر",دار الجيل,بيروت,1973.0,427,الفقه والشريعة,FSR_546
297.8/13,كتاب المنية والأمل في شرح الملل والنحل,"إبن منصور الحسني, أحمد بن يحيى",دار الفكر,لبنان,1979.0,231,الفرق والطوائف الإسلامية,FSR_4635
159.9/12,علم النفس الصناعي : بحوث عربية وعالمية,"أبو االنيل, محمود السيد",دار النهضة العربية,بيروت,1985.0,686,علم النفس الصناعي,FSR_17417
621.316.1/05,إقتصاديات نظم القدرة الكهربائية,"أبو الخير, محمد هاشم",جامعة دمشق,دمشق,1991.0,316,الشبكات الكهربائية,FSR_26327
331/09,الوسيط في شرح قانون العمل (المصري واللبناني): النظرية العامة لقانون العمل,"أبو السعود, رمضان",الدار الجامعية,بيروت,1983.0,523,القانون الاجتماعي,FSR_16753
961.1/08,عنوان الدراية فيمن عرف من العلماء في المائة السابعة ببجاية,"أبو العباس الغبريني, أحمد بن أحمد بن عبد الله",دار الآفاق الجديدة,بيروت,1979.0,460,تاريخ تونس,FSR_7025
51/33,علم الحساب,"أبو العباس, أحمد",دار المعارف,بيروت,1986.0,313,الرياضيات,FSR_19731
82.091/98,الرؤية والرمانسية للمصير الإنساني لدى الشاعر العربي الحديث,"أبو العزم, طلعت عبد العزيز",الهيئة المصرية العامة للكتاب,الاسكندرية,1981.0,463,دراسات أدبية,FSR_13977
82.091/98 مكرر,الرؤية الرومانسية للمصير الإنساني لدى الشاعر العربي الحديث,"أبو العزم, طلعة عبد العزيز",الهيئة المصرية العامة للكتاب,الأسكندرية,1981.0,463,دراسة أدبية,FSR_23598
551.4/01 مكرر,أصول الجيومورفولوجيا: دراسة الاشكال التضاريسية لسطح الارض,"أبو العينين, حسن سيد أحمد",دار النهضة العربية,بيروت,1979.0,744,الجيومور فولوجيا,FSR_23482
91/11,كوكب الأرض ظواهره التضارسية الكبرى,"أبو العينين, سيد احمد حسن",مؤسسة التقافة الجامعية,الأسكندرية,1976.0,596,الجغرافية,FSR_17138
801.3/07,المعاجم اللغوية : في ضوء دراسات علم اللغة الحديث,"أبو الفرج, محمد أحمد",دار النهضة العربية,بيروت,1966.0,150,معاجم لغوية,FSR_9144
31/26,أساليب الإحصاء التطبيقي,"أبو القاسم, علي",دار الشباب,قبرص,1987.0,336,الإحصاء,FSR_26518
801.56/31,تقويم الفكر النحوي,"أبو المكارم, علي",دار الثقافة,بيروت,1975.0,291,النحو العربي,FSR_11736
681.3/24,التجارب العلمية في الدراسات المنطقية والحاسبات العدوية,"أبو النور, حسن",مطبعة جامعة دمشق,دمشق,1988.0,116,إعلاميات,FSR_24928
159.9/13,علم النفس والشائعات: دراسات عربية وعالمية,"أبو النيل, محمود السيد",دار النهضة العربية,بيروت,1986.0,243,علم النفس,FSR_17419
159.9/16,القيم والانتاج : دراسات عربية وعالمية,"أبو النيل, محمود السيد",دار النهضة العربية,بيروت,1986.0,153,علم النفس,FSR_17418
159.9.052/10 ج1,علم النفس الإجتماعي: دراسات عربية وعالمية,"أبو النيل, محمود السيد (إعداد)",دار النهضة العربية,بيروت,1985.0,661,علم النفس الإجتماعي,FSR_15933
159.9.052/10 ج2,علم النفس الإجتماعي: دراسات عربية وعالمية,"أبو النيل, محمود السيد (إعداد)",دار النهضة العربية,بيروت,1985.0,531,علم النفس الإجتماعي,FSR_15934
159.9.072/02,التحليل العاملي لذكاء وقدرات الإنسان: دراسة عربية وعالمية,"أبو النيل, محمود السيد (إعداد)",دار النهضة العربية,بيروت,1986.0,470,علم النفس: القياس النفسي,FSR_17420
347.918/01,التحكيم الاختياري والاجباري,"أبو الوفا, أحمد",منشأة المعارف,الاسكندرية,1978.0,383,المسطرة المدنية,FSR_9656
347.918/01 مكرر,التحكيم الاختياري والاجباري,"أبو الوفا, أحمد",منشأة المعارف,الاسكندرية,1978.0,383,المسطرة المدنية,FSR_10658
347.918/03,عقد التحكيم واجراءاته,"أبو الوفا, أحمد",منشأة المعارف,الاسكندرية,1974.0,355,المسطرة المدنية,FSR_10657
82-1/15,ديوان علي أحمد باكثير: أزهار الربى في شعر الصبا,"أبو بكر, حميد محمد",دار المناهل,بيروت,1987.0,289,ديوان شعري,FSR_18829
665.6/12,كيمياء وتكنولوجيا البترول,"أبو بكر, محمد",مديرية الكتب والمطبوعات الجامعية,حلب,1983.0,690,الصناعة النفطية,FSR_24820
665.6/13,كيمياء وتكنولوجيا البترول,"أبو بكر, محمد",مديرية المتب والمطبوعات الجامعية,حلب,1983.0,232,الصناعة النفطية,FSR_24766
32/57,الفكر السياسي الحديث,"أبو جابر, فايز صالح",دار الجيل,بيروت,1985.0,261,علوم سياسية,FSR_15903
368/04,التأمين بين الحضر والإباحة,"أبو جيب, سعدي",دار الفكر المعاصر,بيروث,1989.0,96,التأمين,FSR_23188
82.091/97,الإلتزام في الشعر العربي,"أبو حاقة, أحمد",دار العلم للملايين,بيروت,1979.0,756,دراسة أدبية,FSR_9450
612/03 ج1,الفيزيولوجيا العامة: وظائف الاتصال,"أبو حامد, حسين",جامعة دمشق,دمشق,1989.0,536,الفيزيولوجيا,FSR_26152
612/03 ج2,الفيزيولوجيا العامة: وظائف الإتصال,"أبو حامد, حسين",جامعة دمشق,دمشق,1989.0,1199,الفيزيولوجيا,FSR_26151
575/06,علم النسج والتشريح المقارن,"أبو حرب, محمد",جامعة دمشق,دمشق,1986.0,340,الوراثة,FSR_24505
611.9/02 ج2,علم النسج والتشريح المقارن,"أبو حرب, محمد",جامعة دمشق,دمشق,1986.0,49,التشريع,FSR_26136
37:297/15,أصالة التثقيف التربوي الإسلامي في الفكر الأندلسي,"أبو حويج, مروان سليم",الدار الجامعية,الكويت,1987.0,528,علوم التربية والإسلام,FSR_23399
297.125/104 ج1,تفسير النهر الماد من البحر المحيط,"أبو حيان الأندلسي, محمد بن يوسف بن علي","دار الجنان, مؤسسة الكتب الثقافية",بيروت,1987.0,1015,القرآن : تفسير,FSR_18800
297.125/104 ج2 ق1,تفسير النهر الماد من البحر المحيط,"أبو حيان الأندلسي, محمد بن يوسف بن علي","دار الجنان, مؤسسة الكتب الثقافية",بيروت,1987.0,664,القرآن : تفسير,FSR_18801
297.125/104 ج2 ق2,تفسير النهر الماد من البحر المحيط,"أبو حيان الأندلسي, محمد بن يوسف بن علي","دار الجنان, مؤسسة الكتب الثقافية",بيروت,1987.0,1320,القرآن : تفسير,FSR_18802
297.81/01,الإشارات الإلهية,أبو حيان التوحيدي,دار الثقافة,بيروت,1973.0,486,التصوف,FSR_4684
82-9/11,المقابسات,"أبو حيان التوحيدي, علي بن محمد",دار المدى للطباعة والنشر,بيروت,1986.0,264,الأنواع الأدبية المختلفة,FSR_18821
577.15/01,علم الإنزمات,"أبو خرمة, دياب",منشورات جامعة دمشق,دمشق,1992.0,284,علم الإنزيمات,FSR_24901
297/14,الإسلام في قفص الإتهام,"أبو خليل, شوقي",دار الفكر,دمشق,1977.0,326,الإسلام,FSR_4123
801/30,في الشعرية,"أبو ديب, كمال",مؤسسة الأبحاث العلمية,بيروت,1987.0,160,اللسانيات,FSR_18431
82-4/15,جدلية الخفاء والتجلي: دراسات بنيوية في الشعر,"أبو ديب, كمال",دار العلم للملايين,بيروت,1981.0,309,دراسة وأبحاث معاصرة,FSR_15907
82-4/18,في البنية الإيقاعية للشعر العربي: نحو بديل جدري لعروض الخليل ومقدمة في علم الإيقاع المقارن,"أبو ديب, كمال",دار العلم للملايين,بيروت,1974.0,543,دراسة وأبحاث معاصرة,FSR_20233
297.7/02,عمرو بن العاص بين يدي التاريخ: مع رواية جديدة لبعض أحداث الفتح العربي لمصر,"أبو رابية, عبد الخالق سيد",الزهراء للإعلام العربي,القاهرة,1988.0,352,تراجم وأعلام,FSR_19970
1:297/91,أصول الفلسفة الاشراقية عند شهاب الدين السهروردي,"أبو ريان, محمد علي",دار النهضة العربية,بيروت,1978.0,409,فلسفة إسلامية: الفلسفة الاشراقية,FSR_7060
183_091/01,تاريخ الفكر الفلسفي : الفلسفة اليونانية. الجزء الأول: من طاليس إلى أفلاطون,"أبو ريان, محمد علي",دار النهضة العربية,بيروت,1976.0,371,تاريخ الفلسفة اليونانية,FSR_7059
185/01,تاريخ الفكر الفلسفي: أرسطو والمدارس المتأخرة,"أبو ريان, محمد علي",دار النهضة العربية,بيروت,1976.0,514,فلسفة أرسطو,FSR_6916
297.41/10,موسوعة الفقه الإسلامي. الجزء الأول,"أبو زهرة, محمد",جمعية الدراسات الإسلامية,القاهرة,1967.0,276,الفقه الإسلامي,FSR_4620
297.41/11,موسوعة الفقه الإسلامي. الجزء الثاني,"أبو زهرة, محمد",جمعية الدراسات الإسلامية,القاهرة,1967.0,439,الفقه الإسلامي,FSR_26599
297.728/03,مالك : حياته وعصره - آراؤه وفقهه,"أبو زهرة, محمد",دار الفكر العربي,بيروت,1946.0,398,سير أئمة المذاهب الإسلامية,FSR_7936
297.728/04,أبو حنيفة : حياته وعصره - آراؤه وفقهه,"أبو زهرة, محمد",دار الفكر العربي,بيروت,1947.0,436,سير أئمة المذاهب الإسلامية,FSR_7938
297.74/02,ابن تيمية : حياته وعصره - آراؤه وفقهه,"أبو زهرة, محمد",دار الفكر العربي,القاهرة,1977.0,543,سير الفقهاء,FSR_7935
297.74/03,ابن حزم : حياته وعصره - آراؤه وفقهه,"أبو زهرة, محمد",دار الفكر العربي,القاهرة,1977.0,606,سير الفقهاء,FSR_7937
297.15/12,المنحى الإعتزالي في البيان و إعجاز القرآن,"أبو زيد, أحمد",مكتبة المعارف,الرباط,1986.0,395,القرآن : توضيح البيان ـ المعتزلة,FSR_18806
297.15/12 مكرر,المنحى الإعتزالي في البيان وإعجاز القرآن,"أبو زيد, أحمد",مكتبة المعارف,الرباط,1986.0,395,القرآن : توضيح البيان ـ المعتزلة,FSR_23012
801.5/31,البديعيات في الأدب العربي نشأتها - تطورها - أثرها,"أبو زيد, علي",عالم الكتب,بيروت,1983.0,336,البلاغة العربية : البديع,FSR_17119
1:297/134,التصور الدري في الفكر الفلسفي الإسلامي,"أبو زيد, منى أحمد",المؤسسة الجامعية للدراسات والنشر والتوزيع,بيروت,1994.0,400,فلسفة إسلامية,FSR_26974
82-1_إس_/06,مفهوم النص دراسة في علوم القرآن,"أبو زيد, ناصر حامد",المركز الثقافي العربي,الدار البيضاء,1990.0,319,الأدب الإسلامي,FSR_23425
347.51_624/01,أصول المسؤولية التقصيرية في قانون المعاملات,"أبو سعد, محمد شتا",مطبعة جامعة القاهرة,القاهرة,1984.0,134,المسؤولية بوجه عام,FSR_23444
330.11/27,تنمية وتعبئة مصادر المياه في الوطن العربي,"أبو سعده, سعيد محمد",مؤسسة الكميل للتوزيع والإعلان والنشر,الكويت,1987.0,153,الأهداف والظواهر الإقتصادية,FSR_26484
82-1_جا/23,دراسات في الشعر الجاهلي,"أبو سويلم, أنور",دار الجيل,بيروت,1987.0,136,الأدب الجاهلي,FSR_18828
626/04,الهيدروليك التطبيقي للمهندسين المدنيين,"أبو سيف, عطا الله",جامعة دمشق,دمشق,1985.0,236,الهندسة المائية,FSR_25778
621.38/06 ج2,الالكترونيات. الجزء الثاني,"أبو شاهين, الياس",جامعة دمشق,دمشق,1986.0,310,الالكترونيات,FSR_26132
30/40,العينات وتطبيقاتها في البحوث الاجتناعية,"أبو شعر, عبد الرزاق أمين",معهد الإدارة العامة للبحوث,الرياض,1997.0,470,علم الاجتماع: مناهج البحث,FSR_27674
35/41,بعض سياسات الافراد بالجهاز الحكومي في المملكة الأردنية الهاشمية,"أبو شيخة, ناذر أحمد",المنظمة العربية للعلوم الادارية,عمان,1985.0,66,القانون الاداري,FSR_17766
62-1/05,هندسة الانتاج: آلات التشعيل,"أبو صالح, حسن",جامعة حلب,سوريا,1982.0,399,آلات التشغيل,FSR_26254
62-34/04,التحكم الآلي,"أبو صالح, حسن",جامعة حلب,سوريا,1991.0,715,الهندسة الميكانيكية : التحكم الآلي,FSR_26174
669/05,طرق التصنيع: سباكة ولحام,"أبو صفية, عارف","الجامعة التكنولوجية, مركز التعريب والنشر",بغداد,1982.0,488,الميتالورجيا,FSR_13072
669/05 مكرر,طرق التصنيع: سباكة ولحام,"أبو صفية, عارف",الجامعة التكنولوجية مركز التعريب والنشر,بغداد,1982.0,488,الميتالورجيا,FSR_12580
669/08,الميتالورجيا الفيزياوية الهندسية,"أبو صفية, عارف",الجامعة التكنولوجية,بغداد,1982.0,454,الميتالورجيا,FSR_13074
669/08 مكرر,الميتالورجيا الفيزياوية الهندسية,"أبو صفية, عارف",الجامعة التكنولوجية,بغداد,1982.0,454,الميتالورجيا,FSR_12657
336/03,موازنة البرامج بين النظرية والتطبيق,"أبو صقر, حبيب",المنظمة العربية,عمان,1981.0,72,المالية العامة,FSR_12388
946.81/16,القبائل العربية في الأندلس حتى سقوط الخلافة الأموية,"أبو ضيف أحمد, مصطفى",دار النشر المغربية,البيضاء,1983.0,507,تاريخ العرب الأندلسي,FSR_13469
946.81/16 مكرر,القبائل العربية في الأندلس حتى سقوط الخلافة الأموية,"أبو ضيف أحمد, مصطفى",دار النشر المغربية,البيضاء,1983.0,497,تاريخ الأندلس,FSR_23590
946.81/16 مكرر 2,القبائل العربية في الأندلس حتى سقوط الخلافة الأموية,"أبو ضيف, أحمد مصطفى",دار النشر المغربية,البيضاء,1983.0,504,تاريخ الأندلس,FSR_15826
343.2/09,قانون العقوبات: القسم الخاص,"أبو عامر, محمد زكي",الدار الجامعية,بيروت,1984.0,412,القانون الجنائي,FSR_16645
343/04,قانون العقوبات: القسم الخاص,"أبو عامر, محمد زكي",الدار الجامعية,بيروت,1989.0,412,القانون الجنائي,FSR_22541
801.551/13 ق1,المعنى والإعراب عند النحويين ونظرية العامل,"أبو عبد الله, عبد العزيز عبده",دار الكتاب والتوزيع والإعلان والمطابع,طرابلس,1982.0,515,الإعراب,FSR_12894
801.551/14 ق2,المعنى والإعراب عند النحويين ونظرية العامل,"أبو عبد الله, عبد العزيز عبده",دار الكتاب والتوزيع والإعلان والمطابع,طرابلس,1982.0,1035,الإعراب,FSR_12895
327/41 ج1,تلك الأيام مذكرات وذكرايات - الجزء الأول,"أبو عز الدين, حليم سعيد",دار الآفاق الجديدة,بيروت,1982.0,1543,العلاقات السياسية الدولية,FSR_20436
327/41 ج2,تلك الأيام مذكرات وذكريات. الجزء الثاني,"أبو عز الدين, حليم سعيد",دار الآفاق الجديدة,بيروت,1982.0,3302,العلاقات السياسية,FSR_20437
92/04,المقاومة والوجدان عب الشعب والذات,"أبو عزام, محمد السلوى",مطبعة النجاح الجديدة,البيضاء,1990.0,682,بيوغرافيا,FSR_20938
82-84/05,كتاب الأمثال,"أبو عكرمة الضبي, عامر بن عمران",مجمع اللغة العربية,دمشق,1974.0,188,الأمثال والحكم,FSR_7832
378/44,التعليم العالي في بريطانيا,"أبو عمه, محمود بن عبد الرحمان",مكتب التربية العربي لدول الخليج,الرياض,2000.0,352,التعليم العالي,FSR_28558
911.3:312/03,جغرافية السكان وأسسها الديمغرافية العامة,"أبو عيانة, فتحي محمد",دار الجامعة المصرية,الإسكندرية,1977.0,518,الجغرافية البشرية,FSR_5290
911.3:312/07,دراسات في جغرافية السكان,"أبو عيانة, فتحي محمد",دار النهضة العربية,بيروت,1978.0,526,الجغرافية البشرية,FSR_7838
911.3:312/08,السكان والعمران الحضري: بحوث تطبيقية في بعض الأقطار العربية,"أبو عيانة, فتحي محمد",دار النهضة العربية,بيروت,1984.0,604,جغرافية السكان,FSR_15726
911.3:33/06,الجغرافية الإقتصادية,"أبو عيانة, فتحي محمد",دار النهضة العربية,بيروت,1984.0,668,الجغرافية الإقتصادية,FSR_14468
916/09,جغرافية إفريقية,"أبو عيانة, فتحي محمد",دار النهضة العربية,بيروت,1983.0,540,جغرافية إفريقيا,FSR_13470
911/08,دراسات في الجغرافيا السياسية,"أبو عيانه, فتحي محمد",دارالنهضة العربية,بيروت,1971.0,543,الجغرافية العامة,FSR_14467
091:51/02,كتاب الجبر والمقابلة,"أبو كامل, شجاع بن أسلم",معهد تاريخ العلوم العربية والاسلامية,فرانكفورت,1986.0,221,مخطوطات: الرياضيات,FSR_17963
091:52/04,المدخل الكبير الى علم أحكام النجوم,"أبو معشر, جعفر بن محمد",معهد تاريخ العلوم العربية والاسلامية,فرانكفورت,1985.0,477,مخطوطات: علم الفلك,FSR_17943
82.09/12,النقد البنيوي الحديث بين لبنان وأوروبا: صوص - حجاليات - تطلعات,"أبو منصور, فؤاد",دار الجيل,بيروت,1985.0,511,النقد الأدبي,FSR_16643
82-9/09,أراغون في مواجهة العصر,"أبو منصور, فؤاد",المؤسسة العربية للدراسات والنشر,بيروت,1982.0,292,الأنواع الأدبية المختلفة,FSR_19710
801/12,الألسنية والنقد الأدبي في النظرية والممارسة,"أبو ناضر, موريس",دار النهار,بيروت,1979.0,166,اللسانيات,FSR_15708
1:297/95,كتاب المعتمد في أصول الدين,"أبو يعلى الحنبلي, محمد ابن الحسين",دار المشرق,بيروت,1974.0,333,فلسفة إسلامية,FSR_25441
956.95/03,متحف التاريخ الطبيعي الأردني,"أبو يمن, إبراهيم خليل",مطبعة جامعة اليرموك,جامعة اليرموك,1985.0,98,تاريخ الأردن,FSR_17449
665.6/16,المدخل إلى كمياء البترول,"أبوبكر, محمد",جامعة حلب,حلب,1980.0,424,التكنولوجيا النفطية,FSR_26436
72_091/05 ج1,تاريخ العمارة: تاريخ العمارة الحديثة : الجزء الأول,"أبوحديد, يوسف",جامعة دمشق,دمشق,1988.0,127,تاريخ الهندسة المعمارية,FSR_25781
297.81/01 مكرر,الإشارات الإلهية,أبوحيان التوحيدي,دار الثقافة,بيروت,1973.0,486,التصوف,FSR_10146
54/01,الكيمياء التحليلية (2): مبادئ التحليل الكمي ةالآلي,"أبودان, محمود",جامعة حلب,دمشق,1988.0,373,الكيمياء,FSR_24334
297.26/20,أضواء على السنة المحمدية أو دفاع عن الحديث,"أبورية, محمود",دار المعارف,مصر,1976.0,422,الحديث : الرواة والرواية,FSR_4611
347.23:297/01,الملكية ونظرية العقد في الشريعة الإسلامية,"أبوزهرة, محمد",دار الفكر العربي,بيروت,1972.0,470,القانون المدني,FSR_7152
297.126/27,التناسب البياني في القرآن : دراسة في النظم المعنوي والصوتي,"أبوزيد, أحمد",منشورات كلية الآداب والعلوم الانسانية,الرباط,1992.0,398,القرآن توضيح البيان,FSR_29186
39/09,محاضرات في الأنثروبولوجيا الثقافية,"أبوزيد, أحمد",دار النهضة العربية,بيروت,1978.0,205,الأنثربولوجيا,FSR_15154
1:297/101,فلسفة التأويل: دراسة في تأويل القرآن عند محي الدين بن عربي,"أبوزيد, نصر حامد",دار التنوير,بيروت,1983.0,427,فلسفة إسلامية,FSR_13619
1:297/12,الإتجاه العقلي في التفسير: دراسة في قضية المجاز في القرآن عند المعتزلة,"أبوزيد, نصر حامد",دار التنوير,بيروت,1982.0,280,فلسفة إسلامية: المعتزلة,FSR_13283
35_297/01,نظرية الادارة في الاسلام نظرة متكاملة لمعالجة السلوك الاداري,"أبوسن, أحمد إبراهيم",المنظمة العربية للعلوم الادارية,عمان,1981.0,65,القانون الاداري,FSR_12389
35/47,إدارة البحث العلمي في الوطن العربي,"أبوشيخة, نادر أحمد",المنظمة العربية للعلوم الإدارية,عمان,1986.0,92,القانون الإداري,FSR_17764
964/152,أثر القبائل العربية في الحياة المغربية: خلال عصري الموحدين وبني مرين,"أبوضيف أحمد, مصطفى",دار النشر المغربية,البيضاء,1982.0,376,تاريخ المغرب,FSR_9532
582.28/01,أساسيات علم الفطريات,"أبوهيلة, عبد الله بن ناصر",المملكة العربية السعودية,الرياض,1987.0,543,الفطريات,FSR_18060
37/34,التربية المقارنة: التربية في الوطن العربي,"أبيض, ملكة",منشورات جامعة دمشق,دمشق,1992.0,157,التربية والتعليم,FSR_24678
37/65,التربية المقارنة,"أبيض, ملكة",منشورات جامعة دمشق,دمشق,1992.0,201,التربية والتعليم,FSR_24552
37_091/06,تاريخ التربية في العصور القديمة,"أبيض, ملكة",منشورات جامعة دمشق,دمشق,1992.0,109,تاريخ التربية,FSR_24664
37_091/07,تاريخ التربية وعلم النفس عند العرب,"أبيض, ملكة",مطبوعات جامعة دمشق,دمشق,1990.0,156,تاريخ التربية,FSR_24662
323.1/23 ج1 مكرر,القضية الفلسطينية والصراع العربي الصهيوني,إتحاد الجامعات العربية,مديرية دار الكتب للطباعة والنشر,الموصل,1983.0,563,الحركات الوطنية,FSR_15255
378/20,"الدراسات القنونية: الندوة الأولى لعمداء كليات الحقوق بالجامعات العربية. جامعة بيروت العربية, أبريل 1973",إتحاد الجامعات العربية,جامعة بيروت العربية,بيروت,1973.0,402,التعليم العالي,FSR_23160
378/27,دور التعليم الجامعي والعلي في التنمية الشاملة: بحوت مختارة من المؤتمر العام الخامس لإتحاد الجامعات العربية,إتحاد الجامعات العربية,إتحاد الجامعات العربية,عمان,1990.0,272,التعليم العالي: التعليم التنموي,FSR_22596
620.9/03,أبحات ندوة الطاقة المتجددة جامعة حلب 29 أيلول- 2 تشرين الأول 1986,إتحاد الجامعات العربية,جامعة حلب,حلب,1986.0,841,الطاقة,FSR_19851
378/29,ندوة القبول في التعليم العالي: بحوت مختارة,إتحاد الجامعات العربية - إتحاد الجامعات الدول - الجامعة الأردنية,الجامعة الأردنية,عمان,1988.0,218,التعليم العالي,FSR_23120
378/28,ندوة طرائق التدريس في الجامعات العربية (بحوت مختارة),إتحاد الجامعات العربية - الجامعة المستنصرية - مكتب اليونسكو الإقليمي,إتحاد الجامعات العربية,عمان,1988.0,252,التعليم العالي: مناهج وطرق التدريس,FSR_23121
378/26,ندوة تحديث الإدارة الجامعية: بحوت مختارة الواقائع والتوصيات,إتحاد الجامعات العربية - منظمة اليونسكو - جامعة اليرموك,إتحاد الجامعات العربية,عمان,1989.0,472,التعليم العالي: الإدارة الجامعية,FSR_23122
